scenario_id,model_label,parameter,true_value,n_reps,empirical_coverage,mean_bias,median_bias,rmse,mean_ci_width,mean_posterior_sd,max_rhat_worst,min_ess_worst,pct_rhat_bad,metadid_install_datetime,run_date,mean_n_divergent,max_n_divergent,pct_reps_with_divergence,pct_reps_many_divergence,mean_n_max_treedepth,min_ebfmi_worst,se_bias,se_ci_width,se_posterior_sd
A1,default,time_trend_mean,-0.08888888888888889,25,1,-0.0024875928384631,-0.00222092417111111,0.00904982957854308,0.03963540399999999,0.0121617046156374,1.0049714369442453,693.7521826979573,0,2026-05-20T20:52:05Z,2026-05-20T20:53:51Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
A1,default,time_trend_sd,0.04444444444444444,25,0.92,0.00365794237320555,0.00337908986705555,0.00956715983153165,0.03384073686999999,0.010504129390418,1.0049714369442453,693.7521826979573,0,2026-05-20T20:52:05Z,2026-05-20T20:53:51Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
A1,default,treatment_effect_mean,-0.3333333333333333,25,0.84,0.00546670946893331,0.00453240455333331,0.02380767305522948,0.06749373481999997,0.02068808161205476,1.0049714369442453,693.7521826979573,0,2026-05-20T20:52:05Z,2026-05-20T20:53:51Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
A1,default,treatment_effect_sd,0.06666666666666667,25,0.8,0.01598024588966333,0.01381531939758333,0.02078057818572245,0.05533902822599999,0.01725569647167067,1.0049714369442453,693.7521826979573,0,2026-05-20T20:52:05Z,2026-05-20T20:53:51Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
A10,default,baseline_control_mean,0.45,25,0.96,0.00136970088589999,0.00432061371749997,0.01110679076369144,0.04424510595999998,0.01360214564065504,1.007613914490761,512.6268953558856,0,2026-05-20T20:52:05Z,2026-05-20T20:53:51Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
A10,default,time_trend_mean,-0.04,25,0.84,-0.00263388257522639,-0.00227106368542499,0.00822391451916087,0.02266047176999999,0.00695937931894389,1.007613914490761,512.6268953558856,0,2026-05-20T20:52:05Z,2026-05-20T20:53:51Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
A10,default,time_trend_sd,0.02,25,0.96,4.6794678029349367e-4,0.00207477002154999,0.00557279486228403,0.02127441068979999,0.00659297688309581,1.007613914490761,512.6268953558856,0,2026-05-20T20:52:05Z,2026-05-20T20:53:51Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
A10,default,treatment_effect_mean,-0.15,25,0.84,0.00273904630451999,0.0025488219925,0.00924796052277157,0.02591032548,0.00787816627125677,1.007613914490761,512.6268953558856,0,2026-05-20T20:52:05Z,2026-05-20T20:53:51Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
A10,default,treatment_effect_sd,0.03,25,0.8,3.877630852278005e-5,-7.070448567499978e-4,0.00677296103511714,0.02076661717159999,0.00636606396540887,1.007613914490761,512.6268953558856,0,2026-05-20T20:52:05Z,2026-05-20T20:53:51Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
A11,default,time_trend_mean,-0.08888888888888889,25,0.92,-0.0029982359951181,-0.0035306629626111,0.01021750330429911,0.03998430544999999,0.01219532377475512,1.005005386152776,811.0856029005804,0,2026-05-20T20:52:05Z,2026-05-20T20:53:51Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
A11,default,time_trend_sd,0.04444444444444444,25,0.96,0.00377360752947291,0.00436373237830555,0.00875640428214111,0.03413590877999999,0.01058065172862299,1.005005386152776,811.0856029005804,0,2026-05-20T20:52:05Z,2026-05-20T20:53:51Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
A11,default,treatment_effect_mean,-0.3333333333333333,25,0.96,-0.00554197230226668,-0.00560827595166668,0.01930936321533996,0.07000679571999999,0.02143584696378245,1.005005386152776,811.0856029005804,0,2026-05-20T20:52:05Z,2026-05-20T20:53:51Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
A11,default,treatment_effect_sd,0.06666666666666667,25,0.56,0.01981259065231533,0.02309837021458333,0.02695377483463476,0.05756598916399998,0.01789031810833362,1.005005386152776,811.0856029005804,0,2026-05-20T20:52:05Z,2026-05-20T20:53:51Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
A12,individual,time_trend_mean,-0.08888888888888889,25,0.92,-0.0033886605774911,-0.00400104488036111,0.01138035474162219,0.03871334048199999,0.01188328061947736,1.0093700657763514,765.0604215871606,0,2026-05-20T20:52:05Z,2026-05-20T20:53:51Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
A12,individual,time_trend_sd,0.04444444444444444,25,0.92,0.00197973321389275,0.00273832770355555,0.01005348159840704,0.03354983807599999,0.01039478585859247,1.0093700657763514,765.0604215871606,0,2026-05-20T20:52:05Z,2026-05-20T20:53:51Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
A12,individual,treatment_effect_mean,-0.3333333333333333,25,0.88,-0.00548441644736668,-0.00493221752666667,0.02270012082333392,0.06934332144,0.02121459863788241,1.0093700657763514,765.0604215871606,0,2026-05-20T20:52:05Z,2026-05-20T20:53:51Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
A12,individual,treatment_effect_sd,0.06666666666666667,25,0.64,0.01920439492037733,0.02194756221008333,0.02686641320806902,0.05708273455799999,0.01782379214205895,1.0093700657763514,765.0604215871606,0,2026-05-20T20:52:05Z,2026-05-20T20:53:51Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
A12,summary,time_trend_mean,-0.08888888888888889,25,0.92,-0.0033882076770311,-0.00430452861336111,0.01137670619519904,0.03879521992999998,0.01186273764095802,1.0064159058904714,697.1790480366566,0,2026-05-20T20:52:05Z,2026-05-20T20:53:51Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
A12,summary,time_trend_sd,0.04444444444444444,25,0.88,0.00191427767092932,0.00297447044680555,0.01003142837638594,0.03333407521699999,0.01039807747193892,1.0064159058904714,697.1790480366566,0,2026-05-20T20:52:05Z,2026-05-20T20:53:51Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
A12,summary,treatment_effect_mean,-0.3333333333333333,25,0.84,-0.00548362098976668,-0.00462026319666669,0.02266753069064431,0.06913116697999999,0.02113133468105814,1.0064159058904714,697.1790480366566,0,2026-05-20T20:52:05Z,2026-05-20T20:53:51Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
A12,summary,treatment_effect_sd,0.06666666666666667,25,0.6,0.01936712328605233,0.02149081774033333,0.02692668204542276,0.05718371379799998,0.01778835744040811,1.0064159058904714,697.1790480366566,0,2026-05-20T20:52:05Z,2026-05-20T20:53:51Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
