scenario_id,model_label,parameter,true_value,n_reps,empirical_coverage,mean_bias,median_bias,rmse,mean_ci_width,mean_posterior_sd,max_rhat_worst,min_ess_worst,pct_rhat_bad,mean_n_divergent,max_n_divergent,pct_reps_with_divergence,pct_reps_many_divergence,mean_n_max_treedepth,min_ebfmi_worst
A1,default,time_trend_mean,-0.08888888888888889,25,1,-0.0023061108847111074,-0.0015531882626111104,0.008706605622249213,0.03969254539,0.012162628446123843,1.488728125803548,4.366707084539907,0.12,104.44,764,1,0.88,0,0.1427341624126408
A1,default,time_trend_sd,0.044444444444444446,25,0.92,0.0024588766842715544,0.0019852829955555526,0.009519497904024557,0.033943135283999996,0.010590266546683104,1.488728125803548,4.366707084539907,0.12,104.44,764,1,0.88,0,0.1427341624126408
A1,default,treatment_effect_mean,-0.3333333333333333,25,0.92,0.0039253019975333085,0.0011308959983333255,0.02275443310753708,0.06847059230000001,0.02120745953432351,1.488728125803548,4.366707084539907,0.12,104.44,764,1,0.88,0,0.1427341624126408
A1,default,treatment_effect_sd,0.06666666666666667,25,0.84,0.015678043421553337,0.01366798690783333,0.020838889218349626,0.054581428493999995,0.017191757343632916,1.488728125803548,4.366707084539907,0.12,104.44,764,1,0.88,0,0.1427341624126408
A10,default,baseline_control_mean,0.45,25,0.96,0.0013244882033999893,0.004174343954999993,0.011109061681904973,0.04474428260000002,0.013643704378521573,1.0321086167084539,101.95858127615058,0,44.28,120,1,0.88,0,0.2350011500572205
A10,default,time_trend_mean,-0.04,25,0.84,-0.002570440971531999,-0.0016824149930000018,0.00818445119341588,0.022589538908,0.006894736008780117,1.0321086167084539,101.95858127615058,0,44.28,120,1,0.88,0,0.2350011500572205
A10,default,time_trend_sd,0.02,25,0.92,4.562809293068593e-4,0.0018630695749499993,0.005635528407920741,0.02145673816696,0.006614802493115708,1.0321086167084539,101.95858127615058,0,44.28,120,1,0.88,0,0.2350011500572205
A10,default,treatment_effect_mean,-0.15,25,0.84,0.0026847927025399933,0.0027233375899999857,0.009287374967054722,0.026083604160000003,0.007958213310240039,1.0321086167084539,101.95858127615058,0,44.28,120,1,0.88,0,0.2350011500572205
A10,default,treatment_effect_sd,0.03,25,0.8,5.701279677300136e-5,-0.001066277026749999,0.0067634599573747805,0.020869873467399998,0.006392082431926985,1.0321086167084539,101.95858127615058,0,44.28,120,1,0.88,0,0.2350011500572205
A11,default,time_trend_mean,-0.08888888888888889,25,0.92,-0.0026503096618511073,-0.0031973986536111138,0.010248995746068718,0.040203689753999995,0.012298497885119497,1.0664363704436246,35.086734738232565,0.08,69.28,271,1,0.76,0,0.3507613312123805
A11,default,time_trend_sd,0.044444444444444446,25,0.96,0.0019869999465659547,0.0024939571370555524,0.008678871428431106,0.034397999221799994,0.010744248289510145,1.0664363704436246,35.086734738232565,0.08,69.28,271,1,0.76,0,0.3507613312123805
A11,default,treatment_effect_mean,-0.3333333333333333,25,0.96,-0.006727754764866685,-0.008997308326666675,0.019918753239663665,0.06870884332,0.021093408868278395,1.0664363704436246,35.086734738232565,0.08,69.28,271,1,0.76,0,0.3507613312123805
