scenario_id,model_label,parameter,true_value,n_reps,empirical_coverage,mean_bias,median_bias,rmse,mean_ci_width,mean_posterior_sd,max_rhat_worst,min_ess_worst,pct_rhat_bad,mean_n_divergent,max_n_divergent,pct_reps_with_divergence,pct_reps_many_divergence,mean_n_max_treedepth,min_ebfmi_worst
A1,default,time_trend_mean,-0.08998628257887518,25,0.96,-0.0015500326830248145,-0.0036414086951248176,0.010105454673444219,0.04211532759599999,0.01291683649098129,1.0082758148381437,490.6610679685805,0,0,0,0,0,0,0.582558017302093
A1,default,time_trend_sd,0.045528614603915496,25,0.84,0.005958369042024504,0.005974783891084502,0.010579351455191658,0.035337745749999996,0.011024317780808554,1.0082758148381437,490.6610679685805,0,0,0,0,0,0,0.582558017302093
A1,default,treatment_effect_mean,-0.3374485596707819,25,0.96,-0.0024627106652180954,-0.001520250734218076,0.01794500707465534,0.06832208974,0.02090177485481157,1.0082758148381437,490.6610679685805,0,0,0,0,0,0,0.582558017302093
A1,default,treatment_effect_sd,0.07626392697027408,25,0.92,0.00825744531140592,0.007295457205225925,0.0151104361944469,0.056078825006,0.017495268128759414,1.0082758148381437,490.6610679685805,0,0,0,0,0,0,0.582558017302093
A10,default,baseline_control_mean,0.45,25,0.96,-0.008073208350227002,-2.9382465499999677e-4,0.04510722616310524,0.05893490546386,0.021415906607494532,2.05595437911409,2.6767765037760496,0.04,0.2,5,0.04,0,40,0.6732754599972685
A10,default,time_trend_mean,-0.04,25,0.88,0.005672021603524402,0.0015133007164499987,0.03235417614764823,0.03457068073,0.012886117212931973,2.05595437911409,2.6767765037760496,0.04,0.2,5,0.04,0,40,0.6732754599972685
A10,default,time_trend_sd,0.02,25,0.8,0.003228288753690593,9.075806596499994e-4,0.016308737865938103,0.025538885086,0.008724676869789512,2.05595437911409,2.6767765037760496,0.04,0.2,5,0.04,0,40,0.6732754599972685
A10,default,treatment_effect_mean,-0.15,25,0.92,-0.004610131441000005,-3.229341650000106e-4,0.022737199395329966,0.03416089097999998,0.012022499479510548,2.05595437911409,2.6767765037760496,0.04,0.2,5,0.04,0,40,0.6732754599972685
A10,default,treatment_effect_sd,0.03,25,0.84,-0.001123683949706753,8.761770740000029e-4,0.007362442335735759,0.02032793856202,0.0062502590502711945,2.05595437911409,2.6767765037760496,0.04,0.2,5,0.04,0,40,0.6732754599972685
A11,default,time_trend_mean,-0.08998628257887518,15,0.8666666666666667,0.0010116558526751843,0.0012375071778751856,0.009948748282648218,0.03791437018333333,0.011593334374434607,1.0141757824742001,427.3378523970735,0,0,0,0,0,0,0.727231683130616
